"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 10 22:43:14 UTC 2024","Sun Mar 10 22:43:15 UTC 2024","1773","firefox","productBrowsing/filterByCategories.spec.ts","Filter by categories","","","Filter by category",""
"failed","Sun Mar 10 22:36:44 UTC 2024","Sun Mar 10 22:37:06 UTC 2024","22035","chromium","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid firstname",""
"passed","Sun Mar 10 22:34:27 UTC 2024","Sun Mar 10 22:34:38 UTC 2024","10666","chromium","productBrowsing/searchProducts.spec.ts","Search for products","","","Empty search",""
"broken","Sun Mar 10 22:45:52 UTC 2024","Sun Mar 10 22:46:23 UTC 2024","30889","firefox","productBrowsing/searchProducts.spec.ts","Search for products","","","Empty search",""
"broken","Sun Mar 10 22:41:08 UTC 2024","Sun Mar 10 22:41:39 UTC 2024","30851","firefox","loginTests/negativeLoginTest.spec.ts","Login to Application scenario","","","Negative login - invalid credentials",""
"failed","Sun Mar 10 22:33:42 UTC 2024","Sun Mar 10 22:33:58 UTC 2024","16202","chromium","productBrowsing/searchProducts.spec.ts","Search for products","","","Search for products",""
"broken","Sun Mar 10 22:42:42 UTC 2024","Sun Mar 10 22:43:13 UTC 2024","30883","firefox","loginTests/positiveLoginTest.spec.ts","Login to Application scenario","","","Positive login - valid credentials",""
"failed","Sun Mar 10 22:32:13 UTC 2024","Sun Mar 10 22:32:23 UTC 2024","10848","chromium","loginTests/negativeLoginTest.spec.ts","Login to Application scenario","","","Negative login - invalid credentials",""
"failed","Sun Mar 10 22:35:14 UTC 2024","Sun Mar 10 22:35:36 UTC 2024","22251","chromium","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid email",""
"broken","Sun Mar 10 22:54:00 UTC 2024","Sun Mar 10 22:54:31 UTC 2024","30913","firefox","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid lastname",""
"skipped","Sun Mar 10 22:34:39 UTC 2024","Sun Mar 10 22:34:39 UTC 2024","46","chromium","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, Privacy Policy not checked",""
"failed","Sun Mar 10 22:38:17 UTC 2024","Sun Mar 10 22:38:17 UTC 2024","502","chromium","registrationTests/positiveRegistrationTest.spec.ts","Register to Application - positive scenario","","","Positive registration",""
"broken","Sun Mar 10 22:50:45 UTC 2024","Sun Mar 10 22:51:16 UTC 2024","30879","firefox","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid password",""
"failed","Sun Mar 10 22:57:28 UTC 2024","Sun Mar 10 22:57:40 UTC 2024","12458","firefox","topMenuTests/replaceCurrency.spec.ts","Currency replacement","","","Select currency from dropdown",""
"broken","Sun Mar 10 22:52:23 UTC 2024","Sun Mar 10 22:52:54 UTC 2024","30912","firefox","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid firstname",""
"broken","Sun Mar 10 22:47:30 UTC 2024","Sun Mar 10 22:48:01 UTC 2024","30851","firefox","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, Privacy Policy not checked",""
"failed","Sun Mar 10 22:54:43 UTC 2024","Sun Mar 10 22:54:46 UTC 2024","3691","firefox","registrationTests/positiveRegistrationTest.spec.ts","Register to Application - positive scenario","","","Positive registration",""
"failed","Sun Mar 10 22:38:43 UTC 2024","Sun Mar 10 22:38:59 UTC 2024","16076","chromium","sanity.spec.ts","Sanity E2E Tests for OpenCart Demo Store","","","Complete E2E Sanity Check",""
"failed","Sun Mar 10 22:36:02 UTC 2024","Sun Mar 10 22:36:09 UTC 2024","6728","chromium","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid password",""
"broken","Sun Mar 10 22:37:40 UTC 2024","Sun Mar 10 22:38:11 UTC 2024","30225","chromium","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid lastname",""
"broken","Sun Mar 10 22:32:47 UTC 2024","Sun Mar 10 22:33:18 UTC 2024","30252","chromium","loginTests/positiveLoginTest.spec.ts","Login to Application scenario","","","Positive login - valid credentials",""
"broken","Sun Mar 10 22:55:53 UTC 2024","Sun Mar 10 22:56:24 UTC 2024","30902","firefox","sanity.spec.ts","Sanity E2E Tests for OpenCart Demo Store","","","Complete E2E Sanity Check",""
"failed","Sun Mar 10 22:39:43 UTC 2024","Sun Mar 10 22:40:04 UTC 2024","21415","chromium","topMenuTests/replaceCurrency.spec.ts","Currency replacement","","","Select currency from dropdown",""
"broken","Sun Mar 10 22:44:18 UTC 2024","Sun Mar 10 22:44:49 UTC 2024","30870","firefox","productBrowsing/searchProducts.spec.ts","Search for products","","","Search for products",""
"passed","Sun Mar 10 22:33:18 UTC 2024","Sun Mar 10 22:33:19 UTC 2024","737","chromium","productBrowsing/filterByCategories.spec.ts","Filter by categories","","","Filter by category",""
"broken","Sun Mar 10 22:49:07 UTC 2024","Sun Mar 10 22:49:38 UTC 2024","30854","firefox","registrationTests/negativeRegistrationTest.spec.ts","Register to Application - negative scenarios","","","Negative registration, invalid email",""
